"character_chosen","neow_bonus","neow_cost","ascension_level","winAct3","winHeart","abandon","N"
"Defect","Boss Relic","None",1,2569,772,3483,15139
"Defect","Boss Relic","None",2,1336,364,1926,9142
"Defect","Boss Relic","None",3,1001,256,1570,7489
"Defect","Boss Relic","None",4,878,221,1497,6719
"Defect","Boss Relic","None",5,775,185,1256,5631
"Defect","Boss Relic","None",6,621,144,1055,4650
"Defect","Boss Relic","None",7,544,125,845,3898
"Defect","Boss Relic","None",8,539,126,708,3649
"Defect","Boss Relic","None",9,472,107,843,3429
"Defect","Boss Relic","None",10,463,123,878,3618
"Defect","Boss Relic","None",11,414,106,711,3362
"Defect","Boss Relic","None",12,379,85,785,3105
"Defect","Boss Relic","None",13,334,63,659,2758
"Defect","Boss Relic","None",14,336,74,678,2771
"Defect","Boss Relic","None",15,416,84,754,3152
"Defect","Boss Relic","None",16,337,49,754,2982
"Defect","Boss Relic","None",17,260,41,857,3265
"Defect","Boss Relic","None",18,240,31,1049,3718
"Defect","Boss Relic","None",19,238,42,1208,4310
"Defect","Boss Relic","None",20,1070,542,5161,16796
"Defect","Hundred Gold","None",1,1237,278,50,6434
"Defect","Hundred Gold","None",2,515,90,31,3763
"Defect","Hundred Gold","None",3,393,61,21,2882
"Defect","Hundred Gold","None",4,330,38,20,2852
"Defect","Hundred Gold","None",5,309,45,16,2247
"Defect","Hundred Gold","None",6,253,35,16,1765
"Defect","Hundred Gold","None",7,202,42,13,1517
"Defect","Hundred Gold","None",8,175,25,9,1405
"Defect","Hundred Gold","None",9,177,28,14,1323
"Defect","Hundred Gold","None",10,171,35,14,1300
"Defect","Hundred Gold","None",11,136,19,8,1136
"Defect","Hundred Gold","None",12,123,14,13,1087
"Defect","Hundred Gold","None",13,103,10,8,945
"Defect","Hundred Gold","None",14,104,13,12,973
"Defect","Hundred Gold","None",15,112,22,16,1125
"Defect","Hundred Gold","None",16,89,7,12,891
"Defect","Hundred Gold","None",17,71,5,21,1074
"Defect","Hundred Gold","None",18,69,5,10,1167
"Defect","Hundred Gold","None",19,64,9,19,1206
"Defect","Hundred Gold","None",20,250,90,87,4163
"Defect","One Random Rare Card","None",1,1214,254,653,7181
"Defect","One Random Rare Card","None",2,521,95,363,4299
"Defect","One Random Rare Card","None",3,409,63,309,3399
"Defect","One Random Rare Card","None",4,327,48,274,3186
"Defect","One Random Rare Card","None",5,295,53,263,2667
"Defect","One Random Rare Card","None",6,256,38,214,2126
"Defect","One Random Rare Card","None",7,202,34,186,1890
"Defect","One Random Rare Card","None",8,205,30,170,1717
"Defect","One Random Rare Card","None",9,222,37,160,1609
"Defect","One Random Rare Card","None",10,137,23,168,1588
"Defect","One Random Rare Card","None",11,140,12,173,1492
"Defect","One Random Rare Card","None",12,132,22,166,1353
"Defect","One Random Rare Card","None",13,130,19,152,1187
"Defect","One Random Rare Card","None",14,104,8,141,1249
"Defect","One Random Rare Card","None",15,107,20,138,1280
"Defect","One Random Rare Card","None",16,100,10,141,1096
"Defect","One Random Rare Card","None",17,78,9,183,1329
"Defect","One Random Rare Card","None",18,66,4,157,1344
"Defect","One Random Rare Card","None",19,59,8,227,1557
"Defect","One Random Rare Card","None",20,178,63,720,4802
"Defect","One Rare Relic","Curse",1,359,94,137,1887
"Defect","One Rare Relic","Curse",2,152,34,71,1145
"Defect","One Rare Relic","Curse",3,138,17,71,1039
"Defect","One Rare Relic","Curse",4,96,10,73,932
"Defect","One Rare Relic","Curse",5,81,11,49,736
"Defect","One Rare Relic","Curse",6,73,6,46,593
"Defect","One Rare Relic","Curse",7,87,11,31,532
"Defect","One Rare Relic","Curse",8,58,12,36,482
"Defect","One Rare Relic","Curse",9,50,8,48,485
"Defect","One Rare Relic","Curse",10,42,7,40,487
"Defect","One Rare Relic","Curse",11,68,10,31,460
"Defect","One Rare Relic","Curse",12,43,8,33,395
"Defect","One Rare Relic","Curse",13,35,2,28,330
"Defect","One Rare Relic","Curse",14,36,4,28,383
"Defect","One Rare Relic","Curse",15,39,4,36,415
"Defect","One Rare Relic","Curse",16,26,3,26,317
"Defect","One Rare Relic","Curse",17,23,3,47,435
"Defect","One Rare Relic","Curse",18,26,3,48,463
"Defect","One Rare Relic","Curse",19,21,1,70,549
"Defect","One Rare Relic","Curse",20,79,18,213,1566
"Defect","One Rare Relic","No Gold",1,519,128,129,2359
"Defect","One Rare Relic","No Gold",2,228,52,80,1358
"Defect","One Rare Relic","No Gold",3,172,35,57,1088
"Defect","One Rare Relic","No Gold",4,143,22,56,1037
"Defect","One Rare Relic","No Gold",5,128,18,52,927
"Defect","One Rare Relic","No Gold",6,119,17,42,739
"Defect","One Rare Relic","No Gold",7,90,21,39,660
"Defect","One Rare Relic","No Gold",8,84,13,38,614
"Defect","One Rare Relic","No Gold",9,86,20,50,599
"Defect","One Rare Relic","No Gold",10,93,9,47,654
"Defect","One Rare Relic","No Gold",11,68,13,42,556
"Defect","One Rare Relic","No Gold",12,70,11,32,541
"Defect","One Rare Relic","No Gold",13,56,4,24,440
"Defect","One Rare Relic","No Gold",14,49,6,25,484
"Defect","One Rare Relic","No Gold",15,61,7,35,568
"Defect","One Rare Relic","No Gold",16,41,7,37,460
"Defect","One Rare Relic","No Gold",17,40,5,35,535
"Defect","One Rare Relic","No Gold",18,41,9,43,616
"Defect","One Rare Relic","No Gold",19,34,2,72,656
"Defect","One Rare Relic","No Gold",20,104,38,250,2247
"Defect","One Rare Relic","Percent Damage",1,432,123,123,2060
"Defect","One Rare Relic","Percent Damage",2,162,39,58,1100
"Defect","One Rare Relic","Percent Damage",3,132,25,48,900
"Defect","One Rare Relic","Percent Damage",4,125,21,61,858
"Defect","One Rare Relic","Percent Damage",5,101,17,40,709
"Defect","One Rare Relic","Percent Damage",6,74,9,39,611
"Defect","One Rare Relic","Percent Damage",7,72,8,28,545
"Defect","One Rare Relic","Percent Damage",8,65,11,32,486
"Defect","One Rare Relic","Percent Damage",9,76,14,35,493
"Defect","One Rare Relic","Percent Damage",10,50,5,26,467
"Defect","One Rare Relic","Percent Damage",11,52,8,35,422
"Defect","One Rare Relic","Percent Damage",12,44,11,24,401
"Defect","One Rare Relic","Percent Damage",13,44,7,32,354
"Defect","One Rare Relic","Percent Damage",14,53,4,29,429
"Defect","One Rare Relic","Percent Damage",15,46,7,29,457
"Defect","One Rare Relic","Percent Damage",16,28,2,24,352
"Defect","One Rare Relic","Percent Damage",17,38,2,34,398
"Defect","One Rare Relic","Percent Damage",18,21,2,37,389
"Defect","One Rare Relic","Percent Damage",19,14,2,58,469
"Defect","One Rare Relic","Percent Damage",20,78,29,202,1685
"Defect","One Rare Relic","Ten Percent Hp Loss",1,406,96,119,2016
"Defect","One Rare Relic","Ten Percent Hp Loss",2,177,42,61,1190
"Defect","One Rare Relic","Ten Percent Hp Loss",3,134,28,72,997
"Defect","One Rare Relic","Ten Percent Hp Loss",4,111,16,54,973
"Defect","One Rare Relic","Ten Percent Hp Loss",5,106,14,42,762
"Defect","One Rare Relic","Ten Percent Hp Loss",6,100,17,38,617
"Defect","One Rare Relic","Ten Percent Hp Loss",7,93,18,36,594
"Defect","One Rare Relic","Ten Percent Hp Loss",8,74,10,31,534
"Defect","One Rare Relic","Ten Percent Hp Loss",9,71,13,37,516
"Defect","One Rare Relic","Ten Percent Hp Loss",10,70,8,39,529
"Defect","One Rare Relic","Ten Percent Hp Loss",11,58,5,23,445
"Defect","One Rare Relic","Ten Percent Hp Loss",12,46,11,36,431
"Defect","One Rare Relic","Ten Percent Hp Loss",13,54,10,38,407
"Defect","One Rare Relic","Ten Percent Hp Loss",14,62,9,28,411
"Defect","One Rare Relic","Ten Percent Hp Loss",15,59,6,39,459
"Defect","One Rare Relic","Ten Percent Hp Loss",16,43,7,31,398
"Defect","One Rare Relic","Ten Percent Hp Loss",17,36,4,31,439
"Defect","One Rare Relic","Ten Percent Hp Loss",18,28,5,55,489
"Defect","One Rare Relic","Ten Percent Hp Loss",19,29,4,50,517
"Defect","One Rare Relic","Ten Percent Hp Loss",20,118,55,234,1924
"Defect","Random Colorless","None",1,561,112,306,3779
"Defect","Random Colorless","None",2,249,53,193,2219
"Defect","Random Colorless","None",3,193,31,161,1674
"Defect","Random Colorless","None",4,124,18,119,1481
"Defect","Random Colorless","None",5,101,15,110,1158
"Defect","Random Colorless","None",6,86,7,80,858
"Defect","Random Colorless","None",7,89,13,68,844
"Defect","Random Colorless","None",8,65,6,59,729
"Defect","Random Colorless","None",9,60,6,58,625
"Defect","Random Colorless","None",10,45,5,34,585
"Defect","Random Colorless","None",11,50,6,51,552
"Defect","Random Colorless","None",12,36,4,48,498
"Defect","Random Colorless","None",13,39,4,39,460
"Defect","Random Colorless","None",14,28,3,51,519
"Defect","Random Colorless","None",15,34,4,50,502
"Defect","Random Colorless","None",16,28,3,38,414
"Defect","Random Colorless","None",17,16,2,51,460
"Defect","Random Colorless","None",18,22,2,48,543
"Defect","Random Colorless","None",19,20,0,84,584
"Defect","Random Colorless","None",20,51,18,209,1662
"Defect","Random Colorless 2","Curse",1,144,48,68,826
"Defect","Random Colorless 2","Curse",2,62,13,34,520
"Defect","Random Colorless 2","Curse",3,41,6,32,405
"Defect","Random Colorless 2","Curse",4,42,4,36,394
"Defect","Random Colorless 2","Curse",5,24,4,28,345
"Defect","Random Colorless 2","Curse",6,31,6,19,269
"Defect","Random Colorless 2","Curse",7,23,3,21,232
"Defect","Random Colorless 2","Curse",8,20,4,13,210
"Defect","Random Colorless 2","Curse",9,28,2,15,203
"Defect","Random Colorless 2","Curse",10,23,6,11,219
"Defect","Random Colorless 2","Curse",11,17,2,21,193
"Defect","Random Colorless 2","Curse",12,13,2,20,181
"Defect","Random Colorless 2","Curse",13,17,4,16,186
"Defect","Random Colorless 2","Curse",14,11,1,23,199
"Defect","Random Colorless 2","Curse",15,12,1,21,199
"Defect","Random Colorless 2","Curse",16,14,1,16,171
"Defect","Random Colorless 2","Curse",17,11,0,20,169
"Defect","Random Colorless 2","Curse",18,13,0,25,229
"Defect","Random Colorless 2","Curse",19,18,0,40,266
"Defect","Random Colorless 2","Curse",20,20,6,127,724
"Defect","Random Colorless 2","No Gold",1,180,46,84,1072
"Defect","Random Colorless 2","No Gold",2,75,12,42,656
"Defect","Random Colorless 2","No Gold",3,70,20,38,558
"Defect","Random Colorless 2","No Gold",4,52,7,29,521
"Defect","Random Colorless 2","No Gold",5,55,15,18,429
"Defect","Random Colorless 2","No Gold",6,52,7,19,340
"Defect","Random Colorless 2","No Gold",7,49,13,24,352
"Defect","Random Colorless 2","No Gold",8,49,8,21,298
"Defect","Random Colorless 2","No Gold",9,39,5,24,301
"Defect","Random Colorless 2","No Gold",10,23,5,20,277
"Defect","Random Colorless 2","No Gold",11,23,5,26,305
"Defect","Random Colorless 2","No Gold",12,29,3,24,283
"Defect","Random Colorless 2","No Gold",13,26,3,22,254
"Defect","Random Colorless 2","No Gold",14,25,5,19,259
"Defect","Random Colorless 2","No Gold",15,30,6,25,304
"Defect","Random Colorless 2","No Gold",16,27,5,20,279
"Defect","Random Colorless 2","No Gold",17,23,6,28,295
"Defect","Random Colorless 2","No Gold",18,18,2,30,326
"Defect","Random Colorless 2","No Gold",19,28,3,31,371
"Defect","Random Colorless 2","No Gold",20,60,34,150,1174
"Defect","Random Colorless 2","Percent Damage",1,128,41,64,931
"Defect","Random Colorless 2","Percent Damage",2,59,15,33,520
"Defect","Random Colorless 2","Percent Damage",3,50,8,37,452
"Defect","Random Colorless 2","Percent Damage",4,48,7,21,394
"Defect","Random Colorless 2","Percent Damage",5,36,4,27,350
"Defect","Random Colorless 2","Percent Damage",6,37,8,24,296
"Defect","Random Colorless 2","Percent Damage",7,38,6,17,275
"Defect","Random Colorless 2","Percent Damage",8,32,4,16,248
"Defect","Random Colorless 2","Percent Damage",9,21,4,21,231
"Defect","Random Colorless 2","Percent Damage",10,21,4,12,240
"Defect","Random Colorless 2","Percent Damage",11,15,1,10,206
"Defect","Random Colorless 2","Percent Damage",12,17,3,22,217
"Defect","Random Colorless 2","Percent Damage",13,17,5,17,186
"Defect","Random Colorless 2","Percent Damage",14,24,5,19,206
"Defect","Random Colorless 2","Percent Damage",15,13,3,22,188
"Defect","Random Colorless 2","Percent Damage",16,10,2,17,177
"Defect","Random Colorless 2","Percent Damage",17,7,1,20,206
"Defect","Random Colorless 2","Percent Damage",18,4,0,14,210
"Defect","Random Colorless 2","Percent Damage",19,9,1,22,213
"Defect","Random Colorless 2","Percent Damage",20,34,12,100,805
"Defect","Random Colorless 2","Ten Percent Hp Loss",1,157,42,78,904
"Defect","Random Colorless 2","Ten Percent Hp Loss",2,56,17,36,545
"Defect","Random Colorless 2","Ten Percent Hp Loss",3,46,9,22,454
"Defect","Random Colorless 2","Ten Percent Hp Loss",4,36,5,21,391
"Defect","Random Colorless 2","Ten Percent Hp Loss",5,45,9,26,352
"Defect","Random Colorless 2","Ten Percent Hp Loss",6,32,5,24,307
"Defect","Random Colorless 2","Ten Percent Hp Loss",7,35,2,22,287
"Defect","Random Colorless 2","Ten Percent Hp Loss",8,24,6,16,237
"Defect","Random Colorless 2","Ten Percent Hp Loss",9,40,9,13,237
"Defect","Random Colorless 2","Ten Percent Hp Loss",10,22,4,21,213
"Defect","Random Colorless 2","Ten Percent Hp Loss",11,26,3,12,206
"Defect","Random Colorless 2","Ten Percent Hp Loss",12,18,3,15,209
"Defect","Random Colorless 2","Ten Percent Hp Loss",13,20,3,24,181
"Defect","Random Colorless 2","Ten Percent Hp Loss",14,18,2,22,187
"Defect","Random Colorless 2","Ten Percent Hp Loss",15,17,2,13,185
"Defect","Random Colorless 2","Ten Percent Hp Loss",16,21,1,25,207
"Defect","Random Colorless 2","Ten Percent Hp Loss",17,12,0,15,182
"Defect","Random Colorless 2","Ten Percent Hp Loss",18,9,1,19,226
"Defect","Random Colorless 2","Ten Percent Hp Loss",19,16,1,28,259
"Defect","Random Colorless 2","Ten Percent Hp Loss",20,62,25,121,938
"Defect","Random Common Relic","None",1,2606,511,407,12383
"Defect","Random Common Relic","None",2,1119,182,210,7094
"Defect","Random Common Relic","None",3,804,137,219,5511
"Defect","Random Common Relic","None",4,649,99,175,5146
"Defect","Random Common Relic","None",5,593,67,160,4194
"Defect","Random Common Relic","None",6,479,65,150,3275
"Defect","Random Common Relic","None",7,427,61,119,2896
"Defect","Random Common Relic","None",8,350,41,115,2617
"Defect","Random Common Relic","None",9,341,48,124,2570
"Defect","Random Common Relic","None",10,315,39,137,2591
"Defect","Random Common Relic","None",11,253,28,123,2199
"Defect","Random Common Relic","None",12,234,24,101,2084
"Defect","Random Common Relic","None",13,224,33,113,1809
"Defect","Random Common Relic","None",14,190,18,111,1886
"Defect","Random Common Relic","None",15,210,27,117,2050
